Seed Name,Price (€)
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
Gushers (Royal Queen Seeds) feminized,29.0
G13 Haze (Barney's Farm) feminized,31.68
Laughing Buddha (Barney's Farm) feminized,36.97
Liberty Haze (Barney's Farm) feminized,31.68
Pineapple Chunk (Barney's Farm) feminized,36.97
Tangerine Dream (Barney's Farm) feminized,31.68
Big Buddha Cheese (Big Buddha Seeds) feminized,35.0
Blue Cheese (Big Buddha Seeds) feminized,35.0
Biscotti (Royal Queen Seeds) feminized,30.5
818 Headband (Cali Connection) feminized,80.0
Blackwater (Cali Connection) feminized,80.0
Buddha Tahoe OG (Cali Connection) feminized,80.0
Chem Valley Kush (Cali Connection) feminized,80.0
Deadhead OG (Cali Connection) feminized,80.0
Girl Scout Cookies (Cali Connection) feminized,95.0
LA Affie (Cali Connection) feminized,80.0
Larry OG Kush (Cali Connection) feminized,80.0
Pre 98 Bubba (Cali Connection) feminized,80.0
Purple Chem (Cali Connection) feminized,80.0
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
